kategorie,deutsch,aegyptisch,aussprache,geschlecht,typ,notiz,audio_datei
Begrüßung,Hallo (locker),أهلا,Ahlan,n,word,Alltag in Ägypten,
Begrüßung,Guten Morgen,صباح الخير,Sabah el-cheir,n,word,,
Begrüßung,Wie geht es dir? (an Mann),إزيك,Izzayak?,m,word,,
Begrüßung,Wie geht es dir? (an Frau),إزيك,Izzayik?,w,word,,
Höflichkeit,Danke,شكراً,Schukran,n,word,,
Höflichkeit,Bitte (an Mann),من فضلك,Min fadlak,m,word,,
Höflichkeit,Bitte (an Frau),من فضلك,Min fadlik,w,word,,
Höflichkeit,Ja,أيوه,Aiwa,n,word,,
Höflichkeit,Nein,لا,La,n,word,,
Höflichkeit,Kein Problem,معلش,Maalesch,n,word,Sehr häufig in Ägypten,
Zahlen,Eins,واحد,Wahid,n,word,,
Zahlen,Zwei,اتنين,Itnein,n,word,,
Zahlen,Drei,تلاتة,Talata,n,word,,
Zahlen,Vier,أربعة,Arbaa,n,word,,
Zahlen,Fünf,خمسة,Chamsa,n,word,,
Lebensmittel,Brot,عيش,Aisch,n,word,Umgangssprache für Brot,
Lebensmittel,Wasser,مية,Maiya,n,word,,
Lebensmittel,Tee,شاي,Schai,n,word,,
Lebensmittel,Kaffee,قهوة,Ahwa,n,word,,
Einkaufen,Wie viel kostet das?,بكام ده؟,Bikam da?,n,word,,
Einkaufen,Das ist zu teuer,ده غالي أوي,Da ghali awi,n,word,,
Restaurant,Ich möchte (Mann),أنا عايز,Ana aiyz,m,word,,
Restaurant,Ich möchte (Frau),أنا عايزة,Ana aiza,w,word,,
Restaurant,Die Rechnung bitte,الحساب من فضلك,El-hisab min fadlak,n,word,,
Unterwegs,Wo ist die Toilette?,فين الحمام؟,Fein el-hammam?,n,word,,
Notfall,Ich verstehe nicht (Mann),مش فاهم,Misch faahm,m,word,,
Notfall,Ich verstehe nicht (Frau),مش فاهمة,Misch faahma,w,word,,
Sätze,Ich heiße ...,اسمي ...,Ismi ...,n,sentence,Name einsetzen,
Sätze,Ich komme aus Deutschland,أنا من ألمانيا,Ana min Almanya,n,sentence,,
Sätze,Das ist lecker!,ده حلو أوي!,Da helu awi!,n,sentence,,
